Customer,Segment,Primary_Rep,Net_Revenue,Total_Invoice_Revenue,Total_Credits,Num_Orders,Avg_Order_Value,Median_Order_Value,Total_Hats_Ordered,Avg_Hats_Per_Order,First_Order_Date,Last_Order_Date,Days_Since_Last_Order,Account_Age_Days,Avg_Days_Between_Orders,Monthly_Revenue,Monthly_Hats,Daily_Hat_Velocity,Days_To_50pct,Recommended_Visit_Days,Hard_Deadline_Days,Next_Visit_Date,Urgency
Beartooth Market,B - Steady Performers,Lamar Helm,5280.0,5280.0,0.0,3,1760.0,1632.0,444,148.0,2025-05-27,2025-11-19,79,255,88.0,630.2870588235295,53.001411764705885,1.6818181818181819,61.83783783783784,49.0,62.0,2026-01-07,OVERDUE
Grocery Outlet - Rainier,B - Steady Performers,Unassigned,5266.4,5266.4,0.0,3,1755.4666666666665,2088.4,444,148.0,2025-06-24,2025-12-19,49,227,89.0,706.208,59.53903083700441,1.6629213483146068,62.54054054054054,50.0,63.0,2026-02-07,Urgent (< 2 weeks)
Grocery Outlet - Mammoth Lakes,B - Steady Performers,Unassigned,5209.65,5448.0,-238.35,6,908.0,817.1999999999999,459,76.5,2025-07-01,2026-02-06,0,220,44.0,720.8261181818182,63.50890909090909,1.7386363636363635,59.81699346405229,48.0,60.0,2026-03-26,Upcoming (1-2 months)
Town Pump - Billings Flying J - 4720-1047,B - Steady Performers,Unassigned,5160.0,5160.0,0.0,5,1032.0,828.0,435,87.0,2025-05-23,2026-01-29,8,259,62.75,606.4494208494209,51.12509652509653,1.3864541832669324,75.01149425287356,60.0,75.0,2026-03-30,Upcoming (1-2 months)
Valley Country Store Bellevue,B - Steady Performers,Unassigned,5052.0,5052.0,0.0,4,1263.0,1230.0,426,106.5,2025-06-20,2025-12-11,57,231,58.0,665.7267532467533,56.1361038961039,1.8362068965517242,56.63849765258216,45.0,57.0,2026-01-25,OVERDUE
Grocery Outlet - Hailey,B - Steady Performers,Unassigned,4981.5,5107.5,-126.0,4,1276.875,1214.4499999999998,430,107.5,2025-06-20,2025-12-23,45,231,62.0,656.4366233766234,56.663203463203466,1.7338709677419355,59.98139534883721,48.0,60.0,2026-02-09,Urgent (< 2 weeks)
Essential Fuels Bridger,B - Steady Performers,Lamar Helm,4980.0,5388.0,-408.0,5,1077.6,828.0,455,91.0,2025-05-28,2025-12-02,66,254,47.0,596.815748031496,54.52834645669291,1.9361702127659575,53.714285714285715,43.0,54.0,2026-01-14,OVERDUE
Grocery Outlet - Tillamook,B - Steady Performers,Unassigned,4959.949999999999,5311.799999999999,-351.85,4,1327.9499999999998,1452.8,447,111.75,2025-05-12,2025-10-07,122,270,49.333333333333336,559.1884370370369,50.39511111111111,2.2652027027027026,45.91200596569724,37.0,46.0,2025-11-13,OVERDUE
Grocery Outlet - Cave Junction,B - Steady Performers,Unassigned,4948.599999999999,4948.599999999999,0.0,4,1237.1499999999999,1259.85,417,104.25,2025-07-23,2025-12-16,52,198,48.666666666666664,760.7847676767676,64.10848484848485,2.142123287671233,48.54996003197442,39.0,49.0,2026-01-24,OVERDUE
Town Pump - Whitefish #2 - 1398,B - Steady Performers,Unassigned,4928.0,4928.0,0.0,4,1232.0,922.0,415,103.75,2025-04-11,2025-11-10,88,301,71.0,498.366511627907,41.968770764119604,1.4612676056338028,71.1710843373494,57.0,71.0,2026-01-06,OVERDUE
RALLYSTOP 12 - NEW HARMONY,B - Steady Performers,Unassigned,4926.0,6156.0,-1230.0,5,1231.2,1248.0,518,103.6,2025-04-04,2025-11-19,79,308,57.25,486.8423376623377,51.194545454545455,1.8096069868995632,57.47104247104247,46.0,57.0,2026-01-04,OVERDUE
KB Express Parowan #80167,B - Steady Performers,Unassigned,4896.0,4896.0,0.0,4,1224.0,1200.0,412,103.0,2025-05-16,2025-11-19,79,266,62.333333333333336,560.2790977443609,47.14766917293233,1.6524064171122994,62.93851132686084,50.0,63.0,2026-01-08,OVERDUE
Mr. Gas,B - Steady Performers,Unassigned,4896.0,4896.0,0.0,3,1632.0,1824.0,413,137.66666666666666,2025-04-16,2025-09-16,143,296,76.5,503.49405405405406,42.472027027027025,1.7995642701525054,57.79176755447942,46.0,58.0,2025-11-01,OVERDUE
Grocery Outlet - Wildmar,B - Steady Performers,Unassigned,4812.4,4812.4,0.0,3,1604.1333333333332,1816.0,406,135.33333333333334,2025-05-14,2025-09-05,154,268,57.0,546.602447761194,46.11432835820895,2.374269005847953,43.80295566502463,35.0,44.0,2025-10-10,OVERDUE
Town Pump - Billings #4 - 0117-1044,B - Steady Performers,Unassigned,4812.0,5064.0,-252.0,4,1266.0,990.0,427,106.75,2025-05-23,2025-12-03,65,259,64.66666666666667,565.5493436293436,50.18486486486487,1.6507731958762886,63.00078064012491,50.0,63.0,2026-01-22,OVERDUE
Good2Go #504,B - Steady Performers,Unassigned,4800.0,5184.0,-384.0,4,1296.0,1152.0,437,109.25,2025-05-16,2025-11-19,79,266,62.333333333333336,549.2932330827067,50.00857142857143,1.7526737967914439,59.33790999237223,47.0,59.0,2026-01-05,OVERDUE
Grocery Outlet - Blue Diamond,B - Steady Performers,Unassigned,4721.599999999999,4721.599999999999,0.0,2,2360.7999999999997,2360.7999999999997,398,199.0,2025-04-23,2025-05-13,269,289,20.0,497.3200830449827,41.920830449826994,9.95,10.452261306532664,8.0,10.0,2025-05-21,OVERDUE
Grocery Outlet - Wenatchee,B - Steady Performers,Unassigned,4721.599999999999,4721.599999999999,0.0,2,2360.7999999999997,2360.7999999999997,398,199.0,2025-10-03,2025-10-03,126,126,0.0,1140.678603174603,96.15174603174603,,,,,,
Grocery Outlet - Puyallup,B - Steady Performers,Unassigned,4698.9,4812.4,-113.5,4,1203.1,998.8,406,101.5,2025-05-14,2025-11-20,78,268,63.333333333333336,533.7108805970149,46.11432835820895,1.6026315789473684,64.89326765188834,52.0,65.0,2026-01-11,OVERDUE
Grocery Outlet - South Tahoe,B - Steady Performers,Unassigned,4630.8,4630.8,0.0,3,1543.6000000000001,1362.0,390,130.0,2025-06-17,2026-02-04,2,234,116.0,602.3997948717949,50.733333333333334,1.1206896551724137,92.80000000000001,74.0,93.0,2026-04-19,On Track
Stage Stop - Island Park,B - Steady Performers,Lamar Helm,4623.0,5664.0,-1041.0,4,1416.0,1392.0,477,119.25,2025-05-05,2025-07-28,193,277,28.0,508.0293140794224,52.41833935018051,4.258928571428571,24.419287211740045,19.0,24.0,2025-08-16,OVERDUE
Hometown Ace Hardware Yakima,B - Steady Performers,Eric Arnold,4572.0,5244.0,-672.0,5,1048.8,828.0,442,88.4,2025-10-15,2026-01-28,9,114,26.25,1220.804210526316,118.02175438596493,3.3676190476190477,30.88235294117647,25.0,31.0,2026-02-22,Soon (2-4 weeks)
Grocery Outlet - Paradise,B - Steady Performers,Unassigned,4540.0,5448.0,-908.0,4,1362.0,1316.6,458,114.5,2025-04-25,2025-12-18,50,287,79.0,481.52473867595825,48.57672473867596,1.4493670886075949,71.75545851528385,57.0,72.0,2026-02-13,Urgent (< 2 weeks)
Ranch and Home,B - Steady Performers,Ann Wheelock,4512.0,4512.0,0.0,2,2256.0,2256.0,380,190.0,2025-07-09,2025-10-31,98,212,114.0,647.8550943396227,54.5622641509434,1.6666666666666667,62.4,50.0,62.0,2025-12-20,OVERDUE
Stokes Market - Anaconda,B - Steady Performers,Unassigned,4512.0,4512.0,0.0,4,1128.0,864.0,379,94.75,2025-05-09,2025-11-05,93,273,60.0,503.0962637362638,42.25919413919414,1.5791666666666666,65.85751978891821,53.0,66.0,2025-12-28,OVERDUE
Town Pump - Kalispell #5 - 0159-1277,B - Steady Performers,Unassigned,4500.0,4500.0,0.0,4,1125.0,1182.0,379,94.75,2025-04-11,2025-12-03,65,301,78.66666666666667,455.08305647840535,38.32810631229236,1.2044491525423728,86.34652594547055,69.0,86.0,2026-02-10,Urgent (< 2 weeks)
Inspired By Love Hair Salon,B - Steady Performers,Christa VIE,4488.0,4488.0,0.0,2,2244.0,2244.0,378,189.0,2025-12-19,2026-01-02,35,49,14.0,2788.0555102040817,234.82285714285715,13.5,7.703703703703703,6.0,8.0,2026-01-08,OVERDUE
Grocery Outlet - Molalla,B - Steady Performers,Unassigned,4471.9,4471.9,0.0,3,1490.6333333333332,1634.3999999999999,377,125.66666666666667,2025-06-30,2025-12-19,49,221,86.0,615.9485791855203,51.927058823529414,1.4612403100775195,71.17241379310344,57.0,71.0,2026-02-14,Urgent (< 2 weeks)
Parkland Exxon Casey's #80208,B - Steady Performers,Unassigned,4464.0,4464.0,0.0,4,1116.0,1104.0,376,94.0,2025-05-05,2025-12-11,57,277,73.33333333333333,490.55653429602893,41.31927797833935,1.281818181818182,81.13475177304963,65.0,81.0,2026-02-14,Urgent (< 2 weeks)
Alpine Village Market,B - Steady Performers,Lamar Helm,4440.0,4440.0,0.0,4,1110.0,1260.0,373,93.25,2025-04-11,2026-01-29,8,301,97.66666666666667,449.0152823920266,37.72132890365449,0.954778156996587,108.92582663092047,87.0,109.0,2026-04-26,On Track
